record_id,payload,source,source_family,evidence_type,date,year,title,url,doi,pmid,nct_id,patent_id,journal_or_source,payload_relevance,decision_relevance,relevance_score,status,flags,snippet
pubmed-amanitin-b48640ba5fd0cc,amanitin,PubMed,paper,paper,2024-01-01,2024,Transforming toxins into treatments: the revolutionary role of α-amanitin in cancer therapy.,https://pubmed.ncbi.nlm.nih.gov/38555326/,,38555326,,,Arch Toxicol,direct,high,100,auto_parsed_pending_review,,
pubmed-amanitin-9c17e0f9ac56be,amanitin,PubMed,paper,paper,2024-01-01,2024,Novel Anti-B-cell Maturation Antigen Alpha-Amanitin Antibody-drug Conjugate HDP-101 Shows Superior Activity to Belantamab Mafodotin and Enhanced Efficacy in Deletion 17p Myeloma Models.,https://pubmed.ncbi.nlm.nih.gov/38260385/,,38260385,,,Res Sq,direct,high,100,auto_parsed_pending_review,,
pubmed-amanitin-f431bfc8ab8a7c,amanitin,PubMed,paper,paper,2025-01-01,2025,Novel Amanitin-Based Antibody-Drug Conjugates Targeting TROP2 for the Treatment of Pancreatic Cancer.,https://pubmed.ncbi.nlm.nih.gov/39564769/,,39564769,,,Mol Cancer Ther,direct,high,100,auto_parsed_pending_review,,
pubmed-amanitin-cae594cebd411c,amanitin,PubMed,paper,paper,2026-01-01,2026,Amanitin-Based Fc-Small Molecule Drug Conjugates with Non-Cleavable Linker: A Novel Therapeutic Strategy for Prostate Cancer Targeted Therapy.,https://pubmed.ncbi.nlm.nih.gov/41841414/,,41841414,,,Mol Cancer Ther,direct,high,100,auto_parsed_pending_review,,
google-patents-search-amanitin-6c2e7988c559dd,amanitin,Google Patents Search,patent,patent_search_seed,2026-01-01,2026,amanitin / alpha-amanitin 类 专利检索入口（待 IP 人工复核）,https://patents.google.com/?q=amanitin+%2F+alpha-amanitin+%E7%B1%BB+antibody+drug+conjugate+payload+linker+patent,,,,,Google Patents Search,direct,high,100,flagged_needs_review,patent_needs_ip_review,PatentsView 当前不可用或无稳定返回。该记录是人工 IP 复核入口：请用 payload 别名、ADC、linker-payload、combination、biomarker 等关键词检索。关键词：amanitin / alpha-amanitin 类 antibody drug conjugate payload linker patent
news-search-seed-amanitin-6b6ec828a2dd2c,amanitin,News Search Seed,news,news_search_seed,2026-01-01,2026,amanitin / alpha-amanitin 类 新闻/公司动态检索入口（待人工复核）,https://news.google.com/search?q=amanitin+%2F+alpha-amanitin+%E7%B1%BB+ADC+payload+company+news+clinical+update,,,,,Google News Search,direct,high,90,flagged_needs_review,news_metadata_only,GDELT 当前限流或不可用。该记录只作为新闻和公司动态人工复核入口，不代表已确认新闻结论。关键词：amanitin / alpha-amanitin 类 ADC payload company news clinical update
pubmed-amanitin-fe15d813ada2f6,amanitin,PubMed,paper,paper,2026-01-01,2026,Amatoxin-derived payloads and their antibody-drug conjugate: unique bicyclopeptide ADCs exhibiting targeted antitumor activity.,https://pubmed.ncbi.nlm.nih.gov/41875754/,,41875754,,,Bioorg Chem,weak,medium,78,auto_parsed_pending_review,,
pubmed-amanitin-16ac99fded02a0,amanitin,PubMed,paper,paper,2026-01-01,2026,"Fungal ribosomally synthesized and post-translationally modified peptides (F-RiPPs): Biosynthesis, genome mining, structural diversity, and translational potential as targeted anticancer ADC payloads.",https://pubmed.ncbi.nlm.nih.gov/42119713/,,42119713,,,Fitoterapia,weak,medium,78,auto_parsed_pending_review,,
pubmed-amanitin-45c44f23e41125,amanitin,PubMed,paper,paper,2025-01-01,2025,Advances in Immunotherapy for HER2 Low-Expressing Triple-Negative Breast Cancer.,https://pubmed.ncbi.nlm.nih.gov/41356427/,,41356427,,,Cancer Manag Res,weak,medium,76,auto_parsed_pending_review,,
pubmed-amanitin-164c1837e0662d,amanitin,PubMed,paper,paper,2025-01-01,2025,Site-Specific Modification of Native IgGs with Flexible Drug-Load.,https://pubmed.ncbi.nlm.nih.gov/39305147/,,39305147,,,Chembiochem,weak,medium,76,auto_parsed_pending_review,,
