source,payload,mechanism,title,date,url,evidence_type,status
PubMed,DXd,TOP1 inhibitor,Antibodies to watch in 2026.,2026 Dec,https://pubmed.ncbi.nlm.nih.gov/41560619/,paper,auto_parsed_pending_review
PubMed,DXd,TOP1 inhibitor,EGFR S442 ectodomain mutation confers cetuximab resistance that can be overcome by ERBB2 blockade with trastuzumab-deruxtecan.,2026 Aug 28,https://pubmed.ncbi.nlm.nih.gov/42176792/,paper,auto_parsed_pending_review
PubMed,DXd,TOP1 inhibitor,ATR inhibition potentiates the antitumor efficacy of HER3-DXd in HER3-positive/HR-positive breast cancer by increasing DNA damage.,2026 Jul,https://pubmed.ncbi.nlm.nih.gov/41986659/,paper,auto_parsed_pending_review
PubMed,DXd,TOP1 inhibitor,Dynamic monitoring of antibody drug conjugates targeting TROP2 or HER2 in breast cancer using circulating tumor cells.,2026 Jun 23,https://pubmed.ncbi.nlm.nih.gov/42308036/,paper,auto_parsed_pending_review
PubMed,DXd,TOP1 inhibitor,Clinical responses to trastuzumab deruxtecan in molecularly defined ependymoma.,2026 Jun 20,https://pubmed.ncbi.nlm.nih.gov/42321415/,paper,auto_parsed_pending_review
Crossref,DXd,TOP1 inhibitor,Optimizing Registered Nurse Roles in the Delivery of Cancer Survivorship Care within Primary Care Settings,2106-12-6,https://doi.org/10.12927/cjnl.2016.24984,paper_metadata,auto_parsed_pending_review
Crossref,DXd,TOP1 inhibitor,Comparative  Study of Serum Lipid Profile Parameters  for Oral Cancer  and Non Oral Cancer Patients,2106-6-20,https://doi.org/10.21276/ijchmr.2016.2.2.08,paper_metadata,auto_parsed_pending_review
Crossref,DXd,TOP1 inhibitor,From Policy to Practice: Assessing the Impact of Staging Policies for Recording Cancer Stage across Canada,2088-1-15,https://doi.org/10.12927/hcq.2013.19505,paper_metadata,auto_parsed_pending_review
Crossref,DXd,TOP1 inhibitor,USING OF LAB ANIMALS AS A MODEL TO STUDY THE DRUG TOXICITY IN COVID-19,2031-8-1,https://doi.org/10.23975/bjvetr.2031.175853,paper_metadata,auto_parsed_pending_review
Crossref,DXd,TOP1 inhibitor,Postures communicationnelles des spécialistes en médecine générale dans le dépistage familial du cancer colorectal,2030-1-1,https://doi.org/10.3917/spub.pr2.0060,paper_metadata,auto_parsed_pending_review
ClinicalTrials.gov,DXd,TOP1 inhibitor,Anlotinib With Trastuzumab Deruxtecan for Previously Treated HER2-Low Advanced Breast Cancer,2024-08-28,https://clinicaltrials.gov/study/NCT06331169,clinical_trial,auto_parsed_pending_review
ClinicalTrials.gov,DXd,TOP1 inhibitor,"Phase III, Open-label, First-line Study of Dato-DXd in Combination With Durvalumab and Carboplatin for Advanced NSCLC Without Actionable Genomic Alterations",2026-04-21,https://clinicaltrials.gov/study/NCT05687266,clinical_trial,auto_parsed_pending_review
ClinicalTrials.gov,DXd,TOP1 inhibitor,EIS-12656 as Single Agent and in Combination in Patients With Specified Solid Tumors,2024-09-14,https://clinicaltrials.gov/study/NCT06525298,clinical_trial,auto_parsed_pending_review
ClinicalTrials.gov,DXd,TOP1 inhibitor,"A Window-of-opportunity Study of U3-1402, a HER3-targeting Antibody-drug Conjugate in Operable Breast Cancer According to ERBB3 Expression",2023-06-21,https://clinicaltrials.gov/study/NCT04610528,clinical_trial,auto_parsed_pending_review
ClinicalTrials.gov,DXd,TOP1 inhibitor,Trastuzumab Deruxtecan Plus ivonescImab for Hormone Receptor-positive HER2 Negative Advanced Breast Cancer Study,2026-06-09,https://clinicaltrials.gov/study/NCT07647016,clinical_trial,auto_parsed_pending_review
PubMed,exatecan,TOP1 inhibitor,NH(2)-trimethyl lock (NH(2)-TML): a stable and effective adapter for exatecan-based antibody-drug conjugates.,2026 Sep 5,https://pubmed.ncbi.nlm.nih.gov/42218895/,paper,auto_parsed_pending_review
PubMed,exatecan,TOP1 inhibitor,Vascular disruption-triggered physiological cascade enables a therapeutic window for fibrin-hypoxia dual-targeting nanomedicines in solid tumors.,2026 Jul 10,https://pubmed.ncbi.nlm.nih.gov/42119788/,paper,auto_parsed_pending_review
PubMed,exatecan,TOP1 inhibitor,"An intrinsically hydrophilic linker enables a stable, high-DAR exatecan-based HER2 ADC with potent antitumor activity.",2026 Jun 10,https://pubmed.ncbi.nlm.nih.gov/42296596/,paper,auto_parsed_pending_review
PubMed,exatecan,TOP1 inhibitor,Sequential Use of Trastuzumab Deruxtecan and Sacituzumab Govitecan in Patients with Breast Cancer: A Pharmacological Approach to Support the Clinical Rationale.,2026 Jun,https://pubmed.ncbi.nlm.nih.gov/41931218/,paper,auto_parsed_pending_review
PubMed,exatecan,TOP1 inhibitor,Exatecan Payload-Based Antibody-Drug Conjugates with a Short Hydrophilic Cleavable Linker.,2026 May 14,https://pubmed.ncbi.nlm.nih.gov/42157849/,paper,auto_parsed_pending_review
Crossref,exatecan,TOP1 inhibitor,Optimizing Registered Nurse Roles in the Delivery of Cancer Survivorship Care within Primary Care Settings,2106-12-6,https://doi.org/10.12927/cjnl.2016.24984,paper_metadata,auto_parsed_pending_review
